Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                        1.8
clk                                          0
vinp                                    0.8985
vinn                                    0.9015
tp0                                          0
tp1                                          0
tp2                                          0
tp3                                          0
tn0                                          0
tn1                                          0
tn2                                          0
tn3                                          0
xdut.vdd.t5                                1.8
xdut.clk.t4                                  0
xdut.qp.t0                                 1.8
xdut.vdd.t4                                1.8
xdut.vss.t17                        5.7027e-12
xdut.clk.t2                                  0
xdut.tail.t7                          0.816529
xdut.vss.t16                       2.33273e-10
xdut.xn.t3                                 1.8
xdut.vinn.t3                            0.9015
xdut.sn0.t0                           0.712352
xdut.vss.t11                         4.201e-10
xdut.tail.t9                          0.816529
xdut.tp1.t0                                  0
xdut.sp1.t1                           0.715632
xdut.vss.t19                       3.91764e-10
xdut.qp.t1                                 1.8
xdut.qn.t3                                 1.8
xdut.vdd.t11                               1.8
xdut.vdd.t10                               1.8
xdut.xn.t0                                 1.8
xdut.vinn.t4                            0.9015
xdut.tail.t6                          0.816529
xdut.vss.t10                       5.03875e-10
xdut.tail.t3                          0.816529
xdut.tp3.t0                                  0
xdut.sp3.t0                           0.756971
xdut.vss.t3                        4.61048e-10
xdut.sp0.t1                           0.709835
xdut.vinp.t1                            0.8985
xdut.xp.t2                                 1.8
xdut.vss.t7                        4.19892e-10
xdut.sp1.t0                           0.715632
xdut.vinp.t2                            0.8985
xdut.xp.t4                                 1.8
xdut.vss.t6                        4.30038e-10
xdut.tail.t4                          0.816529
xdut.vinp.t0                            0.8985
xdut.xp.t0                                 1.8
xdut.vss.t8                        5.04109e-10
xdut.sn2.t1                           0.737757
xdut.tn2.t0                                  0
xdut.tail.t8                          0.816529
xdut.vss.t18                       4.14808e-10
xdut.sp3.t1                           0.756971
xdut.vinp.t4                            0.8985
xdut.xp.t1                                 1.8
xdut.vss.t4                         4.7239e-10
xdut.vdd.t1                                1.8
xdut.qp.t4                                 1.8
xdut.qn.t0                                 1.8
xdut.vdd.t0                                1.8
xdut.xn.t5                                 1.8
xdut.clk.t1                                  0
xdut.vdd.t3                                1.8
xdut.vdd.t2                                1.8
xdut.qp.t2                                 1.8
xdut.qn.t4                                 1.8
xdut.xn.t6                                 1.8
xdut.vss.t21                       6.95858e-10
xdut.sn0.t1                           0.712352
xdut.tn0.t0                                  0
xdut.tail.t10                         0.816529
xdut.vss.t20                       3.86821e-10
xdut.sp2.t0                           0.735278
xdut.vinp.t3                            0.8985
xdut.xp.t3                                 1.8
xdut.vss.t5                        4.47475e-10
xdut.sn3.t0                           0.759459
xdut.tn3.t0                                  0
xdut.tail.t1                          0.816529
xdut.vss.t1                        4.61481e-10
xdut.xn.t2                                 1.8
xdut.vinn.t2                            0.9015
xdut.sn1.t1                           0.718114
xdut.vss.t12                       4.30272e-10
xdut.sn1.t0                           0.718114
