cell	model	w_um	l_um	nf	m	grid_um
pcell_xinp	sky130_fd_pr__nfet_01v8_lvt	3	0.15	1	1	0.004999999888241291
pcell_xinn	sky130_fd_pr__nfet_01v8_lvt	3	0.15	1	1	0.004999999888241291
pcell_xtail	sky130_fd_pr__nfet_01v8	7	0.15	1	1	0.004999999888241291
pcell_xln	sky130_fd_pr__nfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xlp	sky130_fd_pr__nfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xpn	sky130_fd_pr__pfet_01v8	2	0.15	1	1	0.004999999888241291
pcell_xpp	sky130_fd_pr__pfet_01v8	2	0.15	1	1	0.004999999888241291
pcell_xrxp	sky130_fd_pr__pfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xrxn	sky130_fd_pr__pfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xrqp	sky130_fd_pr__pfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xrqn	sky130_fd_pr__pfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xtp0	sky130_fd_pr__nfet_01v8_lvt	0.42	1	1	1	0.004999999888241291
pcell_xsp0	sky130_fd_pr__nfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xtp1	sky130_fd_pr__nfet_01v8_lvt	0.84	1	1	1	0.004999999888241291
pcell_xsp1	sky130_fd_pr__nfet_01v8	2	0.15	1	1	0.004999999888241291
pcell_xtp2	sky130_fd_pr__nfet_01v8_lvt	1.68	1	1	1	0.004999999888241291
pcell_xsp2	sky130_fd_pr__nfet_01v8	4	0.15	1	1	0.004999999888241291
pcell_xtp3	sky130_fd_pr__nfet_01v8_lvt	3.36	1	1	1	0.004999999888241291
pcell_xsp3	sky130_fd_pr__nfet_01v8	8	0.15	1	1	0.004999999888241291
pcell_xtn0	sky130_fd_pr__nfet_01v8_lvt	0.42	1	1	1	0.004999999888241291
pcell_xsn0	sky130_fd_pr__nfet_01v8	1	0.15	1	1	0.004999999888241291
pcell_xtn1	sky130_fd_pr__nfet_01v8_lvt	0.84	1	1	1	0.004999999888241291
pcell_xsn1	sky130_fd_pr__nfet_01v8	2	0.15	1	1	0.004999999888241291
pcell_xtn2	sky130_fd_pr__nfet_01v8_lvt	1.68	1	1	1	0.004999999888241291
pcell_xsn2	sky130_fd_pr__nfet_01v8	4	0.15	1	1	0.004999999888241291
pcell_xtn3	sky130_fd_pr__nfet_01v8_lvt	3.36	1	1	1	0.004999999888241291
pcell_xsn3	sky130_fd_pr__nfet_01v8	8	0.15	1	1	0.004999999888241291
