corner,vdd_v,temperature_c,mode,differential_mv,max_step_ps,numerically_audited,run_id,reset_ok,outcome_at_1ns,decision_at_1ns,latency_at_1ns_ns,core_energy_fj,outcome_at_2ns,latency_at_2ns_ns,qp_at_1ns_v,qn_at_1ns_v
tt,1.8,27,schematic,-10.0,5,True,48c431c4ab74f844dbf70d50,True,correct,-1,0.2255475010283786,240.6829170026306,correct,0.2255475010283786,0.0009481704486444574,1.799961532347864
tt,1.8,27,schematic,-3.0,5,True,66bce7cb6f4cfb3e8a0e447e,True,correct,-1,0.28043908208586116,244.05209899484268,correct,0.28043908208586116,0.0010672180845359535,1.7999570761595753
tt,1.8,27,schematic,3.0,5,True,1f90f95df0881dde1401a2a3,True,correct,1,0.280439082081669,244.05209899476347,correct,0.280439082081669,1.7999570761595771,0.0010672180845329327
tt,1.8,27,schematic,10.0,5,True,d2fa21f113861983462369ca,True,correct,1,0.2255475010360813,240.6829170024873,correct,0.2255475010360813,1.7999615323478655,0.0009481704486438115
tt,1.8,27,lvs,-10.0,5,True,ba5bd9c09a68684403487688,True,correct,-1,0.2248850917978906,240.68754215376336,correct,0.2248850917978906,0.0009483981366182682,1.7999618074377446
tt,1.8,27,lvs,-3.0,5,True,3ae457634c8cddef138f3437,True,correct,-1,0.2797454681726111,244.05922977584058,correct,0.2797454681726111,0.001067187383864352,1.7999570744826727
tt,1.8,27,lvs,3.0,5,True,05da8e1e0e8a5cc0852557ae,True,correct,1,0.2797445391094595,244.05920208508132,correct,0.2797445391094595,1.7999570745821227,0.0010671875185035537
tt,1.8,27,lvs,10.0,5,True,303892230d0ceae8e10f6cce,True,correct,1,0.2248850526697396,240.68754087221623,correct,0.2248850526697396,1.7999618071476118,0.0009483979393855199
tt,1.8,27,c,-10.0,5,True,9398a575001232b47cd7164c,True,correct,-1,0.5046207613451205,411.040222115355,correct,0.5046207613451205,0.016924756072378488,1.799095061447856
tt,1.8,27,c,-3.0,5,True,b0d364deb5e73a41a3b3bd53,True,correct,-1,0.6205610809611082,419.082806275775,correct,0.6205610809611082,0.021664735314913107,1.7987368307872889
tt,1.8,27,c,3.0,5,True,a8f7f548f90f5ea1d07587f2,True,correct,1,0.6255559380558808,419.4183599914011,correct,0.6255559380558808,1.798709316747816,0.021906405339390585
tt,1.8,27,c,10.0,5,True,2a935087d0135328485a8ac9,True,correct,1,0.5094383854194782,411.16347131823477,correct,0.5094383854194782,1.799092260736743,0.016965126873638717
tt,1.8,27,rc,-10.0,5,True,373a049265e76b0d3a4b1e43,True,correct,-1,0.6981619487701298,510.4676753985774,correct,0.6981619487701298,0.06926104320969784,1.793647455799684
tt,1.8,27,rc,-3.0,5,True,721a8dcf34b604d20310c588,True,correct,-1,0.8429697490250807,520.8722407047584,correct,0.8429697490250807,0.10895609063024832,1.7530782334019719
tt,1.8,27,rc,3.0,5,True,230aa19f90b73f6eeebca1c2,True,correct,1,0.842783432344069,520.8061908161512,correct,0.842783432344069,1.7540004003575145,0.10827879228761972
tt,1.8,27,rc,10.0,5,True,1e047627d42974d35f876d8a,True,correct,1,0.6941702116348188,510.4661809421959,correct,0.6941702116348188,1.7936766656886662,0.06919829836187429
ss,1.62,-40,schematic,-10.0,5,True,5fdc523dd629cf5cb2531b66,True,correct,-1,0.53508760754029,164.0861007163866,correct,0.53508760754029,0.08177153014032507,1.6188476078631504
ss,1.62,-40,schematic,-3.0,5,True,800307e595eca785c0c118b8,True,correct,-1,0.6660054115739699,166.87914013544102,correct,0.6660054115739699,0.0918507857066237,1.6180663002951547
ss,1.62,-40,schematic,3.0,5,True,03e26f8daa0e890eb5a959be,True,correct,1,0.6660054115946494,166.87914013575744,correct,0.6660054115946494,1.6180663002951459,0.09185078570661541
