corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,original_run_id,run_id
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,0.625,baseline,0.0,0.0,,0.25,0,unresolved,,136.02585570672926,True,1.0428246901419922,1.0139519684772602,8e70e4e1a6b3c1245d316af2,676321da9ff3301153af7b7b
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,0.625,baseline,0.0,0.0,,0.35,0,unresolved,,136.02585570672926,True,0.9968874281303918,0.8896895235210869,8e70e4e1a6b3c1245d316af2,676321da9ff3301153af7b7b
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,0.625,baseline,0.0,0.0,,0.5,0,unresolved,,136.02585570672926,True,1.5441431215213062,0.32461922716446984,8e70e4e1a6b3c1245d316af2,676321da9ff3301153af7b7b
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,0.625,baseline,0.0,0.0,,0.75,1,wrong,0.5003125000005392,136.02585570672926,True,1.61897527652034,0.05586726000550657,8e70e4e1a6b3c1245d316af2,676321da9ff3301153af7b7b
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,0.625,baseline,0.0,0.0,,1.0,1,wrong,0.5003125000005392,136.02585570672926,True,1.6195768052752415,0.02638946297179994,8e70e4e1a6b3c1245d316af2,676321da9ff3301153af7b7b
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,0.625,baseline,0.0,0.0,,2.0,1,wrong,0.5003125000005392,136.02585570672926,True,1.6199942581132354,0.0014951150458464,8e70e4e1a6b3c1245d316af2,676321da9ff3301153af7b7b
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,0.625,baseline,0.0,0.0,,0.25,0,unresolved,,216.3817022589525,True,1.4049232240124627,1.356939580879085,fe6ef82d51d4794788a499cc,1e5762b2bf8e5509045382ca
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,0.625,baseline,0.0,0.0,,0.35,0,unresolved,,216.3817022589525,True,1.3434734235680441,1.1535953431888848,fe6ef82d51d4794788a499cc,1e5762b2bf8e5509045382ca
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,0.625,baseline,0.0,0.0,,0.5,0,unresolved,,216.3817022589525,True,1.9257603536603614,0.39090502839965624,fe6ef82d51d4794788a499cc,1e5762b2bf8e5509045382ca
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,0.625,baseline,0.0,0.0,,0.75,1,correct,0.5003125000005392,216.3817022589525,True,1.9491204981243417,0.07194992962694198,fe6ef82d51d4794788a499cc,1e5762b2bf8e5509045382ca
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,0.625,baseline,0.0,0.0,,1.0,1,correct,0.5003125000005392,216.3817022589525,True,1.9496093922013165,0.035612485609125576,fe6ef82d51d4794788a499cc,1e5762b2bf8e5509045382ca
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,0.625,baseline,0.0,0.0,,2.0,1,correct,0.5003125000005392,216.3817022589525,True,1.949994352788863,0.0059411259834778124,fe6ef82d51d4794788a499cc,1e5762b2bf8e5509045382ca
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,0.625,baseline,0.0,0.0,,0.25,0,unresolved,,144.31049142521977,True,1.1482635841515014,1.17093417981632,7d65cbbe264d54cc2163af0e,10ab23bf62a4b1c344601d2e
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,0.625,baseline,0.0,0.0,,0.35,0,unresolved,,144.31049142521977,True,0.937087104746562,1.021332180115713,7d65cbbe264d54cc2163af0e,10ab23bf62a4b1c344601d2e
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,0.625,baseline,0.0,0.0,,0.5,-1,correct,0.5000000000000012,144.31049142521977,True,0.3599568790941908,1.5864516305674536,7d65cbbe264d54cc2163af0e,10ab23bf62a4b1c344601d2e
