corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,coarse_max_step_ps,fine_max_step_ps,coarse_run_id,fine_run_id,coarse_outcome,fine_outcome,energy_difference_percent,latency_difference_ns,passed
ff,1.62,-40.0,0.01,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,0.25,10.0,5.0,a680101ea0cdabece71beac6,2fdfe0e56389df01b8cd6180,unresolved,unresolved,0.01565604873810341,,True
ff,1.62,-40.0,0.01,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,0.35,10.0,5.0,a680101ea0cdabece71beac6,2fdfe0e56389df01b8cd6180,unresolved,unresolved,0.01565604873810341,,True
ff,1.62,-40.0,0.01,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,0.5,10.0,5.0,a680101ea0cdabece71beac6,2fdfe0e56389df01b8cd6180,unresolved,unresolved,0.01565604873810341,,True
ff,1.62,-40.0,0.01,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,0.75,10.0,5.0,a680101ea0cdabece71beac6,2fdfe0e56389df01b8cd6180,correct,correct,0.01565604873810341,0.005564136762350125,True
ff,1.62,-40.0,0.01,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,1.0,10.0,5.0,a680101ea0cdabece71beac6,2fdfe0e56389df01b8cd6180,correct,correct,0.01565604873810341,0.005564136762350125,True
ff,1.62,-40.0,0.01,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,2.0,10.0,5.0,a680101ea0cdabece71beac6,2fdfe0e56389df01b8cd6180,correct,correct,0.01565604873810341,0.005564136762350125,True
ff,1.62,27.0,-0.03,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.25,10.0,5.0,d344f88dcc5cae148319081c,a16f83d8d1d0b9ee87b9d221,unresolved,unresolved,0.01564892441113683,,True
ff,1.62,27.0,-0.03,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.35,10.0,5.0,d344f88dcc5cae148319081c,a16f83d8d1d0b9ee87b9d221,unresolved,unresolved,0.01564892441113683,,True
ff,1.62,27.0,-0.03,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.5,10.0,5.0,d344f88dcc5cae148319081c,a16f83d8d1d0b9ee87b9d221,correct,correct,0.01564892441113683,0.0008896555967800035,True
ff,1.62,27.0,-0.03,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,0.75,10.0,5.0,d344f88dcc5cae148319081c,a16f83d8d1d0b9ee87b9d221,correct,correct,0.01564892441113683,0.0008896555967800035,True
ff,1.62,27.0,-0.03,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,1.0,10.0,5.0,d344f88dcc5cae148319081c,a16f83d8d1d0b9ee87b9d221,correct,correct,0.01564892441113683,0.0008896555967800035,True
ff,1.62,27.0,-0.03,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,2.0,10.0,5.0,d344f88dcc5cae148319081c,a16f83d8d1d0b9ee87b9d221,correct,correct,0.01564892441113683,0.0008896555967800035,True
ff,1.62,27.0,0.03,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.25,10.0,5.0,b502e4ae010fe3651d83dc61,4fb20c4753e585e5c8778867,unresolved,unresolved,0.02034450242475556,,True
ff,1.62,27.0,0.03,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.35,10.0,5.0,b502e4ae010fe3651d83dc61,4fb20c4753e585e5c8778867,correct,correct,0.02034450242475556,0.0,True
ff,1.62,27.0,0.03,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.5,10.0,5.0,b502e4ae010fe3651d83dc61,4fb20c4753e585e5c8778867,correct,correct,0.02034450242475556,0.008397319593008656,True
ff,1.62,27.0,0.03,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.75,10.0,5.0,b502e4ae010fe3651d83dc61,4fb20c4753e585e5c8778867,correct,correct,0.02034450242475556,0.008397319593008656,True
ff,1.62,27.0,0.03,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,1.0,10.0,5.0,b502e4ae010fe3651d83dc61,4fb20c4753e585e5c8778867,correct,correct,0.02034450242475556,0.008397319593008656,True
ff,1.62,27.0,0.03,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,2.0,10.0,5.0,b502e4ae010fe3651d83dc61,4fb20c4753e585e5c8778867,correct,correct,0.02034450242475556,0.008397319593008656,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,1.25,baseline,0.0,0.0,,0.25,1.25,0.625,6f4ed96017e571a6e54db63a,676321da9ff3301153af7b7b,unresolved,unresolved,0.006685046602548863,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,1.25,baseline,0.0,0.0,,0.35,1.25,0.625,6f4ed96017e571a6e54db63a,676321da9ff3301153af7b7b,unresolved,unresolved,0.006685046602548863,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,1.25,baseline,0.0,0.0,,0.5,1.25,0.625,6f4ed96017e571a6e54db63a,676321da9ff3301153af7b7b,unresolved,unresolved,0.006685046602548863,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,1.25,baseline,0.0,0.0,,0.75,1.25,0.625,6f4ed96017e571a6e54db63a,676321da9ff3301153af7b7b,wrong,wrong,0.006685046602548863,0.0005490646510102337,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,1.25,baseline,0.0,0.0,,1.0,1.25,0.625,6f4ed96017e571a6e54db63a,676321da9ff3301153af7b7b,wrong,wrong,0.006685046602548863,0.0005490646510102337,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,1.25,baseline,0.0,0.0,,2.0,1.25,0.625,6f4ed96017e571a6e54db63a,676321da9ff3301153af7b7b,wrong,wrong,0.006685046602548863,0.0005490646510102337,True
ff,1.8,-40.0,0.003,0.5,0.04,0,5.0,10.0,baseline,0.0,0.0,,0.25,10.0,5.0,6d1471f5e02b0d2c0c7cc8fc,14941f96780934257b20719c,correct,correct,0.020517848298276995,0.0,True
