corner,vdd_v,temperature_c,previously_observed_postlayout,signed_inputs_mv,SC_points,SC_correct_1ns,SC_correct_2ns,RC_points,RC_correct_1ns,RC_unresolved_1ns,RC_correct_2ns,RC_numeric_qualified,RC_mean_energy_fj,SC_mean_energy_fj,mean_matched_energy_overhead_percent,worst_RC_delay_ns_at2ns,worst_RC_delay_input_mv,worst_RC_delay_attempt_id
tt,1.8,27,True,-10;-3;+3;+10,4,4,4,4,4,0,4,4,421.39104604052625,242.36798423106137,73.86116457925678,0.6575256759601008,-3,a0012-6e26433c361af933e65cae96
ss,1.62,-40,True,-10;-3;+3;+10,4,4,4,4,0,4,4,4,291.95218139711096,165.4853493245579,76.41708736794055,1.5841780809225599,-3,a0028-8ca361919b1282378da3fa79
ss,1.62,125,True,-10;-3;+3;+10,4,4,4,4,0,4,4,4,347.63721325547425,207.1583132570283,67.80885516076506,1.2323902784606613,-3,a0044-d32e7ad4d7fd205bfa73f7c9
ff,1.95,-40,True,-10;-3;+3;+10,4,4,4,4,4,0,4,4,497.4443605094597,278.68764351240685,78.49218381701661,0.41811640323845994,-3,a0060-19950d488cef16ea755514f2
ff,1.95,125,True,-10;-3;+3;+10,4,4,4,4,4,0,4,4,578.1905180264147,337.607468629634,71.25397459714534,0.4920152295585087,-3,a0076-98b627139976f33dab3f7a1c
tt,1.62,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,300.16728593280106,167.9686900373538,78.69905413292626,0.9588123317603906,-3,a0092-bb67b38814f51aa4243f77e0
tt,1.62,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,323.58441944631477,184.88094221556338,75.019059774467,0.9076393008106599,-3,a0108-2e6992153b22fa6db94a3654
tt,1.62,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,355.94416808789947,209.05891792125402,70.25647847570025,0.8592010470461381,-3,a0124-f3a367b947db67999ddd97d9
tt,1.8,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,395.6092576794805,223.61630647220153,76.91074323840814,0.6641682035913296,-3,a0140-12c2a03caae87d431bb039bb
tt,1.8,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,458.45509981090123,269.85560561226544,69.88501452505176,0.6675482099437909,-3,a0156-1543f73ec5ac1c665488970a
tt,1.95,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,484.6681577185294,275.6163940637528,75.84620643761126,0.54835359069122,-3,a0172-fc8123960ae971b8759b8ccd
tt,1.95,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,513.0098603565731,296.21643210460024,73.18470211242528,0.54845065881241,-3,a0188-c7fa25599f486faad3090bef
tt,1.95,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,555.0463160430212,327.01255133695156,69.72768038596121,0.5842178794783691,-3,a0204-bc70b1bf56dff46c2dd4ecc5
ss,1.62,27,False,-10;-3;+3;+10,4,4,4,4,0,4,4,4,315.7652719827425,182.92755876301584,72.61310438525196,1.373865288020421,-3,a0220-b4c9db2b207c5d77bac48bdf
ss,1.8,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,387.1188151235611,221.67780670666906,74.62685991669584,0.9117939527882586,-3,a0236-4b4f6cccf34c36d928b439e0
ss,1.8,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,413.24895806371654,241.03369801482415,71.44517190514377,0.8978942426014909,-3,a0252-2f60494a29bbec9a734c8d08
ss,1.8,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,448.9048087116714,268.0190137845926,67.48675952336868,0.8863006222647593,-3,a0268-7190832f879698114be83fe0
ss,1.95,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,476.17184724193305,274.4415007474355,73.50255747704523,0.7276292259134999,-3,a0284-29c4d9badea6b6341608ca48
ss,1.95,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,504.2349719097179,295.3567486267456,70.7179566899768,0.7173297509126093,-3,a0300-cc104e6a07786dfa7be22772
ss,1.95,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,543.6460453302146,324.97984975206356,67.28277163492423,0.7375001639616888,-3,a0316-7d5273d1ab5c8a6c65e0620e
ff,1.62,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,310.21600126485794,171.1460920553775,81.2538371829963,0.6446743969915497,-3,a0332-f60d92c23f718be0345b7f13
ff,1.62,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,333.29537350769453,187.64245997991105,77.61898689255673,0.631332619214629,-3,a0348-03031776d24e407effc43839
ff,1.62,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,369.5319634603209,214.90966592811552,71.94236823999003,0.6433698088292498,-3,a0364-ee0dc93df51e7f5c3317b0ba
ff,1.8,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,406.6701235772827,226.51758566749996,79.52850714444114,0.48529626311035945,-3,a0380-cd184ff58b8f9125ea62b7b8
ff,1.8,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,433.2196113150521,245.40734931911805,76.52698811154616,0.498306256309659,-3,a0396-80c59b32b6f65db4c2a81a09
ff,1.8,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,476.6676886316857,277.8930650511314,71.52294289467727,0.5401700750293494,-3,a0412-16d88e2bfccfd580cf04fa0d
ff,1.95,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,527.7396667692286,299.95882161717697,75.93261458536169,0.44125947661786935,-3,a0428-61bedb0bf3c73cbaa4657f43
sf,1.62,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,317.9329378193412,175.78404771847318,80.86224133704445,0.8539051588072609,-3,a0444-7bc9982489a3b3b200b028bc
sf,1.62,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,340.0857898748609,191.78994574133532,77.31931140861164,0.8097529196979507,-3,a0460-34931eee214e1bbce4300caa
sf,1.62,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,370.75861484139597,214.42537572782948,72.90520421604538,0.7218616708471397,-3,a0478-f818f95b4c91a9725509285b
sf,1.8,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,415.06436492402315,231.8203284947156,79.04346263183963,0.6744169630423582,-3,a0494-f1cba6c24e496a59728faa60
sf,1.8,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,439.66222335601,249.63293720476665,76.12144466324406,0.636680374102588,-3,a0510-23a6361f877e92e3a8beff76
sf,1.8,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,475.0138777767735,275.41568744668916,72.46825848095885,0.5965996369408406,-3,a0526-bbb04ebb4c787a173d70fb69
sf,1.95,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,505.32585333875613,283.9674391810878,77.95028989515204,0.5693761191825789,-3,a0542-78e44efe8319c5039c899446
sf,1.95,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,532.8561485513585,303.77093602363215,75.4114920829351,0.5488628710550493,-3,a0558-da12b4702a9e8058fe19b41a
sf,1.95,125,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,573.1651435163297,332.66873386571257,72.28877548320976,0.5347260645104691,-3,a0574-a50ca9f097459e7b4ac74a93
fs,1.62,-40,False,-10;-3;+3;+10,4,4,4,4,0,4,4,4,283.86064004306274,161.81294350896104,75.4231062299327,1.8350324672430902,-3,a0590-f32f9ec2374320313bdb1d08
fs,1.62,27,False,-10;-3;+3;+10,4,4,4,4,0,4,4,4,309.67396134820615,179.53042046079727,72.48661431978938,1.4254915201854808,-3,a0606-c44f11aa5d2d0ae917eb31b1
fs,1.62,125,False,-10;-3;+3;+10,4,4,4,4,0,4,4,4,348.8418429798152,211.865205849085,64.64819340246618,1.2429260356768386,-3,a0622-6d09211704365524976ad8d2
fs,1.8,-40,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,379.70841452481085,216.98428697137,74.98873732656554,0.8634245332610586,-3,a0638-ad7e8f2a789885901eda5b05
fs,1.8,27,False,-10;-3;+3;+10,4,4,4,4,4,0,4,4,406.863599454177,237.07470171036698,71.61429056334381,0.8490778118980781,-3,a0654-edc2211831c8c2807f34d97f
