corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,policy,input_mv,deadline_ns,policy_available,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,run_id
tt,1.62,-40.0,-0.03,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-30.0,0.25,True,0,unresolved,,102.32297632258809,True,0.7414826778187652,1.344481269823436,c56cd173746cb5ec115ec2ec
tt,1.62,-40.0,-0.03,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-30.0,0.35,True,-1,correct,0.3499999999999998,102.32297632258809,True,0.31609320140221575,1.4756148082118188,c56cd173746cb5ec115ec2ec
tt,1.62,-40.0,-0.03,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-30.0,0.5,True,-1,correct,0.35424895954244834,102.32297632258809,True,0.09550175839272161,1.6137289161583668,c56cd173746cb5ec115ec2ec
tt,1.62,-40.0,-0.03,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-30.0,0.75,True,-1,correct,0.35424895954244834,102.32297632258809,True,0.03590442887837002,1.6189077572050479,c56cd173746cb5ec115ec2ec
tt,1.62,-40.0,-0.03,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-30.0,1.0,True,-1,correct,0.35424895954244834,102.32297632258809,True,0.0075229823968058895,1.619683312248612,c56cd173746cb5ec115ec2ec
tt,1.62,-40.0,-0.03,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-30.0,2.0,True,-1,correct,0.35424895954244834,102.32297632258809,True,7.004881989206102e-06,1.6199996654401,c56cd173746cb5ec115ec2ec
tt,1.62,-40.0,-0.01,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-10.0,0.25,True,0,unresolved,,108.34413469883147,True,1.0439354310746913,1.0986195316991998,e3a5d907f84dc8736ad08344
tt,1.62,-40.0,-0.01,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-10.0,0.35,True,0,unresolved,,108.34413469883147,True,0.8552779310048666,0.9832235170447718,e3a5d907f84dc8736ad08344
tt,1.62,-40.0,-0.01,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-10.0,0.5,True,0,unresolved,,108.34413469883147,True,0.6524863284173026,0.9763239448445157,e3a5d907f84dc8736ad08344
tt,1.62,-40.0,-0.01,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-10.0,0.75,True,-1,correct,0.6273920039726396,108.34413469883147,True,0.08683387588123861,1.6101992302732815,e3a5d907f84dc8736ad08344
tt,1.62,-40.0,-0.01,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-10.0,1.0,True,-1,correct,0.6273920039726396,108.34413469883147,True,0.019216846058466644,1.6193032325965766,e3a5d907f84dc8736ad08344
tt,1.62,-40.0,-0.01,0.5,0.04,0,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-10.0,2.0,True,-1,correct,0.6273920039726396,108.34413469883147,True,2.8859436424882526e-05,1.6199989375305743,e3a5d907f84dc8736ad08344
