corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,coarse_max_step_ps,fine_max_step_ps,coarse_run_id,fine_run_id,coarse_outcome,fine_outcome,energy_difference_percent,latency_difference_ns,passed
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,5.0,baseline,0.0,0.0,,0.25,5.0,2.5,9806d1db7b7b4723a990cd4d,1424e69a5a9ccff712594dc0,unresolved,unresolved,0.031100364737861725,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,5.0,baseline,0.0,0.0,,0.35,5.0,2.5,9806d1db7b7b4723a990cd4d,1424e69a5a9ccff712594dc0,unresolved,unresolved,0.031100364737861725,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,5.0,baseline,0.0,0.0,,0.5,5.0,2.5,9806d1db7b7b4723a990cd4d,1424e69a5a9ccff712594dc0,unresolved,unresolved,0.031100364737861725,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,5.0,baseline,0.0,0.0,,0.75,5.0,2.5,9806d1db7b7b4723a990cd4d,1424e69a5a9ccff712594dc0,wrong,wrong,0.031100364737861725,0.002549302865152203,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,5.0,baseline,0.0,0.0,,1.0,5.0,2.5,9806d1db7b7b4723a990cd4d,1424e69a5a9ccff712594dc0,wrong,wrong,0.031100364737861725,0.002549302865152203,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,5.0,baseline,0.0,0.0,,2.0,5.0,2.5,9806d1db7b7b4723a990cd4d,1424e69a5a9ccff712594dc0,wrong,wrong,0.031100364737861725,0.002549302865152203,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,5.0,baseline,0.0,0.0,,0.25,5.0,2.5,b01a9cb935635e06869f4e5d,b3f98e5a779347d7de28afbe,unresolved,unresolved,0.025180598892686572,,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,5.0,baseline,0.0,0.0,,0.35,5.0,2.5,b01a9cb935635e06869f4e5d,b3f98e5a779347d7de28afbe,unresolved,unresolved,0.025180598892686572,,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,5.0,baseline,0.0,0.0,,0.5,5.0,2.5,b01a9cb935635e06869f4e5d,b3f98e5a779347d7de28afbe,unresolved,unresolved,0.025180598892686572,,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,5.0,baseline,0.0,0.0,,0.75,5.0,2.5,b01a9cb935635e06869f4e5d,b3f98e5a779347d7de28afbe,correct,correct,0.025180598892686572,0.0024315424827811016,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,5.0,baseline,0.0,0.0,,1.0,5.0,2.5,b01a9cb935635e06869f4e5d,b3f98e5a779347d7de28afbe,correct,correct,0.025180598892686572,0.0024315424827811016,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,5.0,baseline,0.0,0.0,,2.0,5.0,2.5,b01a9cb935635e06869f4e5d,b3f98e5a779347d7de28afbe,correct,correct,0.025180598892686572,0.0024315424827811016,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,5.0,baseline,0.0,0.0,,0.25,5.0,2.5,2c5e862e8f86f41ae80e2cf8,b37905abc23c3247ec292431,unresolved,unresolved,0.00030201111618868506,,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,5.0,baseline,0.0,0.0,,0.35,5.0,2.5,2c5e862e8f86f41ae80e2cf8,b37905abc23c3247ec292431,unresolved,unresolved,0.00030201111618868506,,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,5.0,baseline,0.0,0.0,,0.5,5.0,2.5,2c5e862e8f86f41ae80e2cf8,b37905abc23c3247ec292431,unresolved,correct,0.00030201111618868506,,False
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,5.0,baseline,0.0,0.0,,0.75,5.0,2.5,2c5e862e8f86f41ae80e2cf8,b37905abc23c3247ec292431,correct,correct,0.00030201111618868506,0.0015829278902108612,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,5.0,baseline,0.0,0.0,,1.0,5.0,2.5,2c5e862e8f86f41ae80e2cf8,b37905abc23c3247ec292431,correct,correct,0.00030201111618868506,0.0015829278902108612,True
