corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,policy,input_mv,deadline_ns,policy_available,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,run_id
tt,1.8,27.0,-0.018,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-18,1.0,True,-1,correct,0.37508847856435074,137.5807753717716,True,0.005840808015212755,1.7997987487198144,83a6ea499682e30a43e1bae6
tt,1.8,27.0,-0.006,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-6,1.0,True,-1,correct,0.4137456864492294,141.5757458046171,True,0.007937947287767937,1.799739182499374,892c0dc53640a3eaa6496349
tt,1.8,27.0,-0.002,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-2,1.0,True,-1,correct,0.46324707739160864,144.94278772795974,True,0.009182506602015174,1.799705015203677,f5e487a5d4f39a05b668ada8
tt,1.8,27.0,0.002,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,2,1.0,True,1,correct,0.45260379824970925,144.18106022314032,True,1.7995873071863122,0.014983537439814504,5567c8aafb907b257be9d937
tt,1.8,27.0,0.006,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,6,1.0,True,1,correct,0.4140755298495987,141.16530526537395,True,1.7996232465639286,0.013296725621241793,417f8fbdf250286398844842
tt,1.8,27.0,0.018,0.5,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,18,1.0,True,1,correct,0.3722237174951199,137.21491978544876,True,1.799699822916151,0.009968640421021817,34601e239b6c312c70269e5e
ss,1.62,-40.0,-0.018,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-18,1.0,True,0,unresolved,,80.00213818454768,True,1.3333129796415915,1.5683727119142192,d1efb17341c17bca5f016bd0
ss,1.62,-40.0,-0.006,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-6,1.0,True,0,unresolved,,79.9894930894585,True,1.4281393005920389,1.4866514046554622,49b0061fe016fde816498799
ss,1.62,-40.0,-0.002,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-2,1.0,True,0,unresolved,,76.86682921755306,True,1.4591151787591525,1.455998074777611,9bbaa03760a51221564bacdf
ss,1.62,-40.0,0.002,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,2,1.0,True,0,unresolved,,76.76028060040414,True,1.4813952614118355,1.4337309935607658,f9cbfc129cf6478e4f4fd459
ss,1.62,-40.0,0.006,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,6,1.0,True,0,unresolved,,79.46300474129708,True,1.511048610753741,1.401499866046845,5f9cef1d9c31f7b385315d85
ss,1.62,-40.0,0.018,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,18,1.0,True,0,unresolved,,79.3912086584614,True,1.5850774670648031,1.307445671696156,b8b6282ecb7fec851b6b5c2b
ff,1.95,125.0,-0.018,0.5,0.04,-4,5.0,10.0,baseline,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,-18,1.0,True,-1,correct,0.2044603476601807,198.71692648817694,True,0.0013443651244030676,1.9499956423668412,4eaceb342852bfb791f5156a
ff,1.95,125.0,-0.006,0.5,0.04,-4,5.0,10.0,baseline,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,-6,1.0,True,-1,correct,0.23537449847201913,207.4083386936213,True,0.0013807537385547891,1.94999443032865,359ed90ce9687daf34f83080
ff,1.95,125.0,-0.002,0.5,0.04,-4,5.0,10.0,baseline,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,-2,1.0,True,-1,correct,0.2771667764883804,220.26478062636974,True,0.0014261014944113768,1.9499929707392967,453d60990f4488d7c0afa68f
ff,1.95,125.0,0.002,0.5,0.04,-4,5.0,10.0,baseline,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,2,1.0,True,1,correct,0.24407708688945048,209.17128098765554,True,1.9499789456569774,0.001965863643202115,2cf360ee8958ee59e5d11d07
ff,1.95,125.0,0.006,0.5,0.04,-4,5.0,10.0,baseline,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,6,1.0,True,1,correct,0.22532173073549908,203.84620497453778,True,1.9499807775614832,0.0018905541797785308,39c89dc5a5f3e35b292f07fa
ff,1.95,125.0,0.018,0.5,0.04,-4,5.0,10.0,baseline,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,18,1.0,True,1,correct,0.2058911844172312,197.35953825154584,True,1.9499837658566233,0.001769805269930519,3284397ca8912bc934723d0e
tt,1.8,27.0,-0.018,0.5,0.04,-5,5.0,10.0,svt_fast_4b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-18,1.0,True,-1,correct,0.24826141621474898,251.21284948695555,True,0.0015475864277640025,1.7999325300956726,ed5dc0e573a91c6d24de2282
tt,1.8,27.0,-0.006,0.5,0.04,-5,5.0,10.0,svt_fast_4b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-6,1.0,True,-1,correct,0.27620570595313915,256.3124100356367,True,0.001972699354422395,1.7999175622938473,7abb4a82679a964081588f68
tt,1.8,27.0,-0.002,0.5,0.04,-5,5.0,10.0,svt_fast_4b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-2,1.0,True,-1,correct,0.3009181160060996,259.93598556238396,True,0.002173658702020875,1.7999081391191543,b10e15f4534a6be89a58c818
tt,1.8,27.0,0.002,0.5,0.04,-5,5.0,10.0,svt_fast_4b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,2,1.0,True,1,correct,0.32895860273459876,262.5061795666137,True,1.7998137084020454,0.005133056616478484,96a9179b142751df196287da
tt,1.8,27.0,0.006,0.5,0.04,-5,5.0,10.0,svt_fast_4b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,6,1.0,True,1,correct,0.2829197185122682,256.7805441699028,True,1.799830853195232,0.004590732823683232,64c7efe34dc6b9f42ff2a8ac
tt,1.8,27.0,0.018,0.5,0.04,-5,5.0,10.0,svt_fast_4b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,18,1.0,True,1,correct,0.25095287706346936,251.0142983536363,True,1.7998639737886208,0.0035555275611934257,44f36e62b9432439f5ea3dfe
ss,1.62,-40.0,-0.018,0.5,0.04,-3,5.0,10.0,svt_fast_4b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-18,1.0,True,0,unresolved,,168.24024300919336,True,0.5969678745795864,1.4776340862388675,c7ba8b0fe879b2739242e35e
ss,1.62,-40.0,-0.006,0.5,0.04,-3,5.0,10.0,svt_fast_4b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-6,1.0,True,0,unresolved,,172.05008847449642,True,0.864543922942837,1.3149328080632907,77c1a5b0b1f364b933406b2f
ss,1.62,-40.0,-0.002,0.5,0.04,-3,5.0,10.0,svt_fast_4b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-2,1.0,True,0,unresolved,,174.89988757423544,True,1.0007030551859464,1.1933252236499157,9fd0917cf118700ac90c8fa1
ss,1.62,-40.0,0.002,0.5,0.04,-3,5.0,10.0,svt_fast_4b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,2,1.0,True,0,unresolved,,175.05514486356077,True,1.1508725865961253,1.0460115945229926,34aa07cb6c783a95ff53eced
ss,1.62,-40.0,0.006,0.5,0.04,-3,5.0,10.0,svt_fast_4b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,6,1.0,True,0,unresolved,,171.67163937699624,True,1.2900749610613462,0.900368541093012,f57670d9ab0b0c7160e0b247
ss,1.62,-40.0,0.018,0.5,0.04,-3,5.0,10.0,svt_fast_4b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,18,1.0,True,0,unresolved,,168.1267613672182,True,1.4786271682845802,0.6106254136043943,0504b92ee69c2db34d1993bb
ff,1.95,125.0,-0.018,0.5,0.04,-15,5.0,10.0,svt_fast_4b,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,-18,1.0,True,-1,correct,0.14258807334525891,364.97988653337774,True,0.0008485671329240063,1.9499994623614039,b9c783530154d7cecb2e2a13
ff,1.95,125.0,-0.006,0.5,0.04,-15,5.0,10.0,svt_fast_4b,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,-6,1.0,True,-1,correct,0.1646267644310404,374.90821154069664,True,0.0008569393898382531,1.9499979281741981,2ec5c75258575fce79ec43e2
ff,1.95,125.0,-0.002,0.5,0.04,-15,5.0,10.0,svt_fast_4b,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,-2,1.0,True,-1,correct,0.18438279529187965,385.01576136774133,True,0.0008611199653933224,1.9499966022126078,05e260c04c27b1be4f17120b
ff,1.95,125.0,0.002,0.5,0.04,-15,5.0,10.0,svt_fast_4b,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,2,1.0,True,1,correct,0.18313085422986936,382.8527487214252,True,1.949985862047778,0.0012940637307099056,7cc07ec658c77db71f6cb574
ff,1.95,125.0,0.006,0.5,0.04,-15,5.0,10.0,svt_fast_4b,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,6,1.0,True,1,correct,0.16338434805812946,372.9608748241842,True,1.9499876391469704,0.0012555990828801613,6707130baac95789ddc87d1c
ff,1.95,125.0,0.018,0.5,0.04,-15,5.0,10.0,svt_fast_4b,0.0,0.0,,FF | 1.95 V | 125 C | skew +4%,training_local,18,1.0,True,1,correct,0.1523568069182788,363.38700289257116,True,1.9499892504872367,0.0011925934642458458,6407ff0ee34b0ad59b6705bd
tt,1.8,27.0,-0.018,0.5,0.04,-2,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-18,1.0,True,-1,correct,0.23341016864474073,149.80663072668588,True,0.00017972005522430627,1.7999904400815583,a47b5ac7431ffedce2a442de
tt,1.8,27.0,-0.006,0.5,0.04,-2,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-6,1.0,True,-1,correct,0.3070749826998399,154.4765829861222,True,0.00024399731219414486,1.799987206370039,e7853bb01d546652ed8a2f88
tt,1.8,27.0,-0.002,0.5,0.04,-2,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,-2,1.0,True,1,wrong,0.35970536605990927,157.82580651074161,True,1.799969346569255,0.0006427646320082473,a375966de7d650929f947b99
tt,1.8,27.0,0.002,0.5,0.04,-2,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,2,1.0,True,1,correct,0.2876308833877603,153.11157077955556,True,1.7999768567081107,0.00048425704008538676,7fe2747e7c08a42db7bf7b5b
tt,1.8,27.0,0.006,0.5,0.04,-2,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,6,1.0,True,1,correct,0.25591870381523957,151.38265934039745,True,1.7999791293007286,0.0004373802689091561,b3e00fac21edf1f7b5a5f9ec
tt,1.8,27.0,0.018,0.5,0.04,-2,5.0,10.0,lvt_base_3b,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,training_local,18,1.0,True,1,correct,0.2224698034907,148.4970760007717,True,1.7999830648405035,0.0003568370559889709,64d906515919a5c081f70d7b
ss,1.62,-40.0,-0.018,0.5,0.04,-1,5.0,10.0,lvt_base_3b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-18,1.0,True,-1,correct,0.7445516319604494,102.01228032748948,True,0.11989226898053537,1.6126839517792755,7b956d98a9c209e40a9b5dc8
ss,1.62,-40.0,-0.006,0.5,0.04,-1,5.0,10.0,lvt_base_3b,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,training_local,-6,1.0,True,-1,correct,0.9845992522360089,105.90851132351193,True,0.27707383926236395,1.3701813227820385,043738802a613977d6e894ca
